,Price (€/MWh),Wind (MW)
2024-01-01 00:00:00+01:00,39.41708333333333,2499.6270833333333
2024-01-02 00:00:00+01:00,58.24,2452.715833333333
2024-01-03 00:00:00+01:00,59.16791666666666,2756.942916666667
2024-01-04 00:00:00+01:00,88.51375,1896.2966666666669
2024-01-05 00:00:00+01:00,193.90916666666666,546.1795833333333
2024-01-06 00:00:00+01:00,93.75375000000001,233.51958333333334
2024-01-07 00:00:00+01:00,88.66083333333334,394.43041666666664
2024-01-08 00:00:00+01:00,103.245,986.3312500000001
2024-01-09 00:00:00+01:00,92.9875,1555.0620833333332
2024-01-10 00:00:00+01:00,74.32833333333333,1571.8383333333334
2024-01-11 00:00:00+01:00,85.51791666666666,1507.2095833333333
2024-01-12 00:00:00+01:00,101.72625,1533.5345833333333
2024-01-13 00:00:00+01:00,61.37875,1089.2916666666667
2024-01-14 00:00:00+01:00,75.77374999999999,992.63375
2024-01-15 00:00:00+01:00,87.15041666666667,1884.3716666666667
2024-01-16 00:00:00+01:00,138.95541666666665,1392.4866666666667
2024-01-17 00:00:00+01:00,96.42958333333333,2578.6204166666666
2024-01-18 00:00:00+01:00,90.30958333333332,1529.5512500000002
2024-01-19 00:00:00+01:00,81.73833333333333,881.30125
2024-01-20 00:00:00+01:00,74.34541666666667,669.4291666666667
2024-01-21 00:00:00+01:00,40.62791666666667,2545.7774999999997
2024-01-22 00:00:00+01:00,26.784166666666668,3274.8320833333332
2024-01-23 00:00:00+01:00,33.65,2847.599166666667
2024-01-24 00:00:00+01:00,39.09125,1882.1225000000002
2024-01-25 00:00:00+01:00,75.8775,632.3779166666667
2024-01-26 00:00:00+01:00,50.32416666666666,1601.1333333333332
2024-01-27 00:00:00+01:00,17.800416666666667,2216.721666666667
2024-01-28 00:00:00+01:00,12.575833333333334,2680.7191666666668
2024-01-29 00:00:00+01:00,48.91583333333333,1847.1795833333333
2024-01-30 00:00:00+01:00,59.02791666666667,409.99541666666664
2024-01-31 00:00:00+01:00,18.230833333333333,2334.40625
2024-02-01 00:00:00+01:00,7.155833333333334,3074.8250000000003
2024-02-02 00:00:00+01:00,22.70625,2806.630416666667
2024-02-03 00:00:00+01:00,0.9675000000000001,3189.26125
2024-02-04 00:00:00+01:00,13.5,2790.55125
2024-02-05 00:00:00+01:00,44.084583333333335,1582.2104166666666
2024-02-06 00:00:00+01:00,60.69166666666666,630.3466666666667
2024-02-07 00:00:00+01:00,81.15083333333332,548.5220833333334
2024-02-08 00:00:00+01:00,88.63458333333334,242.67875
2024-02-09 00:00:00+01:00,68.90583333333333,1092.9554166666667
2024-02-10 00:00:00+01:00,66.44666666666667,2208.076666666667
2024-02-11 00:00:00+01:00,59.278333333333336,2081.1679166666668
2024-02-12 00:00:00+01:00,72.235,2205.17
2024-02-13 00:00:00+01:00,69.29583333333333,545.7304166666667
2024-02-14 00:00:00+01:00,61.685833333333335,371.33500000000004
2024-02-15 00:00:00+01:00,64.93083333333334,537.1170833333333
2024-02-16 00:00:00+01:00,32.81333333333333,1612.4608333333333
2024-02-17 00:00:00+01:00,19.16541666666667,1655.2700000000002
2024-02-18 00:00:00+01:00,38.762499999999996,914.9733333333334
2024-02-19 00:00:00+01:00,62.778333333333336,294.0545833333333
2024-02-20 00:00:00+01:00,55.84375,619.1095833333334
2024-02-21 00:00:00+01:00,46.845416666666665,972.4141666666666
2024-02-22 00:00:00+01:00,36.59291666666667,1510.1025
2024-02-23 00:00:00+01:00,3.4104166666666664,2979.4079166666666
2024-02-24 00:00:00+01:00,31.11708333333333,1015.8708333333334
2024-02-25 00:00:00+01:00,40.78458333333334,902.15625
2024-02-26 00:00:00+01:00,56.310833333333335,156.97208333333333
2024-02-27 00:00:00+01:00,55.93291666666667,461.3591666666667
2024-02-28 00:00:00+01:00,21.223333333333333,1666.2083333333333
2024-02-29 00:00:00+01:00,13.28,2439.4054166666665
2024-03-01 00:00:00+01:00,31.177916666666665,1513.22625
2024-03-02 00:00:00+01:00,45.40708333333333,990.1283333333334
2024-03-03 00:00:00+01:00,54.5625,1121.4608333333333
2024-03-04 00:00:00+01:00,64.7675,1362.9575
2024-03-05 00:00:00+01:00,62.36041666666667,1605.4266666666665
2024-03-06 00:00:00+01:00,79.10583333333334,730.0466666666666
2024-03-07 00:00:00+01:00,72.65875,304.91249999999997
2024-03-08 00:00:00+01:00,66.00750000000001,509.7308333333333
2024-03-09 00:00:00+01:00,52.48,861.3891666666667
2024-03-10 00:00:00+01:00,41.39208333333333,1611.9704166666668
2024-03-11 00:00:00+01:00,57.12916666666666,1526.8466666666666
2024-03-12 00:00:00+01:00,74.82791666666667,494.8545833333333
2024-03-13 00:00:00+01:00,56.19708333333333,977.8670833333334
2024-03-14 00:00:00+01:00,21.135833333333334,2603.4249999999997
2024-03-15 00:00:00+01:00,33.3075,1699.5008333333335
2024-03-16 00:00:00+01:00,32.737500000000004,2026.3474999999999
2024-03-17 00:00:00+01:00,49.01166666666666,1479.28125
2024-03-18 00:00:00+01:00,60.149166666666666,351.0608333333333
2024-03-19 00:00:00+01:00,58.11333333333334,660.2366666666667
2024-03-20 00:00:00+01:00,70.465,413.2791666666667
2024-03-21 00:00:00+01:00,73.98833333333333,428.56500000000005
2024-03-22 00:00:00+01:00,47.06041666666667,2461.2062499999997
2024-03-23 00:00:00+01:00,35.11291666666667,1524.8975
2024-03-24 00:00:00+01:00,49.26666666666667,334.15833333333336
2024-03-25 00:00:00+01:00,84.30375,229.00083333333336
2024-03-26 00:00:00+01:00,62.11291666666667,589.2775
2024-03-27 00:00:00+01:00,47.892500000000005,1233.6870833333335
2024-03-28 00:00:00+01:00,38.3575,1631.7466666666667
2024-03-29 00:00:00+01:00,24.059166666666666,1181.1629166666667
2024-03-30 00:00:00+01:00,40.70583333333334,581.9766666666667
2024-03-31 00:00:00+01:00,44.299565217391304,689.7152173913043
2024-04-01 00:00:00+02:00,27.689999999999998,1022.5783333333334
2024-04-02 00:00:00+02:00,28.222083333333334,2697.69
2024-04-03 00:00:00+02:00,45.61833333333333,1599.04625
2024-04-04 00:00:00+02:00,61.83583333333333,1631.4229166666667
2024-04-05 00:00:00+02:00,47.574999999999996,712.55875
2024-04-06 00:00:00+02:00,43.708333333333336,577.9366666666666
2024-04-07 00:00:00+02:00,4.26375,2730.1925
2024-04-08 00:00:00+02:00,37.098333333333336,1718.71375
2024-04-09 00:00:00+02:00,44.92625,689.6791666666667
2024-04-10 00:00:00+02:00,1.2991666666666666,2679.3595833333334
2024-04-11 00:00:00+02:00,7.995833333333334,2710.380833333333
2024-04-12 00:00:00+02:00,23.33666666666667,1699.3054166666668
2024-04-13 00:00:00+02:00,4.2775,2233.505
2024-04-14 00:00:00+02:00,4.243333333333333,2617.095
2024-04-15 00:00:00+02:00,38.37625,664.9308333333333
2024-04-16 00:00:00+02:00,51.71958333333333,756.5383333333334
2024-04-17 00:00:00+02:00,78.7375,391.4691666666667
2024-04-18 00:00:00+02:00,88.5075,349.95166666666665
2024-04-19 00:00:00+02:00,54.374583333333334,628.4516666666667
2024-04-20 00:00:00+02:00,38.755,603.2233333333334
2024-04-21 00:00:00+02:00,60.73708333333334,846.3262500000001
2024-04-22 00:00:00+02:00,95.82416666666667,695.7725
2024-04-23 00:00:00+02:00,97.75833333333333,401.08750000000003
2024-04-24 00:00:00+02:00,96.60125,169.03416666666666
2024-04-25 00:00:00+02:00,90.83583333333333,251.93458333333334
2024-04-26 00:00:00+02:00,84.61083333333333,410.7991666666667
2024-04-27 00:00:00+02:00,67.08541666666666,326.73333333333335
2024-04-28 00:00:00+02:00,35.17375,1260.7370833333332
2024-04-29 00:00:00+02:00,47.71208333333333,1443.5629166666668
